    19  
        0.00    0.00e+00
       19.80    0.00e+00
       19.80    4.10e-22
       20.02    4.10e-22
       20.24    4.60e-22
       21.45    4.20e-22
       21.80    5.50e-22
       22.45    5.50e-22
       24.22    7.30e-22
       25.32    9.20e-22
       27.53    1.08e-21
       29.75    1.16e-21
       34.18    1.21e-21
       46.30    1.21e-21
      100.00    1.15e-21
      200.00    1.00e-21
      400.00    6.00e-22
      700.00    3.50e-22
     1000.00    2.50e-22

source: ftp://jila.colorado.edu/collision_data/electronneutral/electron.txt
    
------original format, with values for Xenon
    37
        0.00    0.00e+00
        8.32    0.00e+00
        8.32    1.00e-23
        8.50    2.60e-22
        9.00    1.26e-21
        9.50    1.31e-21
       10.00    1.80e-21
       10.50    2.40e-21
       11.00    4.20e-21
       11.50    6.20e-21
       12.00    8.40e-21
       12.50    1.05e-20
       13.00    1.28e-20
       14.00    1.70e-20
       15.00    2.14e-20
       16.00    2.55e-20
       18.00    3.35e-20
       20.00    3.73e-20
       25.00    3.85e-20
       30.00    3.57e-20
       40.00    2.85e-20
       50.00    2.40e-20
       60.00    2.10e-20
       70.00    1.85e-20
       80.00    1.66e-20
       90.00    1.52e-20
      100.00    1.38e-20
      150.00    1.00e-20
      200.00    8.00e-21
      300.00    5.68e-21
      400.00    4.65e-21
      500.00    3.95e-21
      600.00    3.44e-21
      700.00    3.02e-21
      800.00    2.77e-21
      900.00    2.52e-21
     1000.00    2.31e-21

     2000.00    1.32e-21
     3000.00    9.50e-22
     4000.00    7.50e-22
     5000.00    6.30e-22
    10000.00    3.60e-22       
    
Excitation collisions cross-section of electrons in xenon
column # 1 - energy, [eV]
column # 2 - cross-section, [m^2]
line # 1 - number of cross-section values to read

From [M.Hayashi, J.Phys.D: Appl.Phys., v.16, 581 (1983)]     
       
